Layer	PeoplePromise	theme	SubTheme	FurtherSubTheme	routingownersecondary	Notes
3	-	sexism	-	-	CIRG	
3	-	sexual harassment	-	-	CIRG	
3	-	sexual harassment from staff	-	-	CIRG	
3	-	shared objectives	-	-	CIRG	
3	-	shared understanding	-	-	CIRG	
3	-	skill development	-	-	Education Leads	
3	-	staff group disparity	-	-	PERRG	
3	-	staffing shortages	-	-	PERRG	
3	-	standards slipping	-	-	PERRG	
3	-	Statutory training requirements	-	-	NHSE Contract Assurance	
3	-	staying late	-	-	PERRG	
3	-	stimulating tasks	-	-	CIRG	
3	-	strained relationships	-	-	PERRG	
3	-	strategic choices	-	-	PEGG	
3	-	stress impacts	-	-	PERRG	
3	-	stress support	-	-	PERRG	
3	-	stretch opportunities	-	-	Education Leads	
3	-	struggling financially	-	-	CIRG	
3	-	suggestions	-	-	PEGG	
3	-	suggestions ignored	-	-	PEGG	
3	-	supervision access	-	-	CIRG	
3	-	support	-	-	PEGG	
3	-	supported by team	-	-	CIRG	
3	-	supported development	-	-	Education Leads	
3	-	supportive colleagues	-	-	CIRG	
3	-	supportive culture	-	-	CIRG	
3	-	supportive manager	-	-	CIRG	
3	-	system pressures	-	-	PERRG	
3	-	taken seriously	-	-	CIRG	
3	-	team autonomy	-	-	CIRG	
3	-	team awareness	-	-	CIRG	
3	-	team goals	-	-	CIRG	
3	-	team identity	-	-	CIRG	
3	-	team meetings	-	-	CIRG	
3	-	team recognition differences	-	-	CIRG	
3	-	team reflection	-	-	CIRG	
3	-	team satisfaction	-	-	CIRG	
3	-	team strain	-	-	PERRG	
3	-	tension	-	-	CIRG	
3	-	thinking of leaving	-	-	PERRG	
3	-	time pressure	-	-	PERRG	
3	-	top-down change	-	-	CIRG	
3	-	training access	-	-	Education Leads	
3	-	training availability	-	-	Education Leads	
3	-	trust	-	-	CIRG	
3	-	trust in services	-	-	CIRG	
3	-	turnover intention	-	-	PERRG	
3	-	uncategorised	-	-	CIRG	
3	-	uncertainty	-	-	CIRG	
3	-	uncertainty about reporting	-	-	CIRG	
